category,view,like,dislike,month,year
Komedi,7725152,251967,3346,6,2015
Blog &amp; Orang,2021597,124731,1478,6,2015
Game,6185864,212273,1593,6,2015
Game,6840109,224278,4473,6,2015
Game,5229649,204007,3111,6,2015
Game,2900399,129167,1827,6,2015
Game,3004624,131657,2660,6,2015
Game,3636535,147341,2325,6,2015
Game,6067296,215542,2004,6,2015
Game,6059966,244509,3928,6,2015
Game,10103353,270828,5289,6,2015
Game,10673846,233858,6253,6,2015
Game,5380166,212558,2621,6,2015
Game,4074714,179745,3128,6,2015
Game,5857512,253051,2534,6,2015
Game,7119046,283125,4350,6,2015
Komedi,10058593,203656,3891,6,2015
Game,7968362,228367,6344,6,2015
Game,3124595,129845,2641,6,2015
Game,9324484,314349,11781,6,2015
Game,9514211,286979,3387,6,2015
Game,7371764,314538,2544,6,2015
Game,3917615,156161,3120,6,2015
Game,4966284,186351,1768,6,2015
Game,3001727,148866,2305,6,2015
Game,2782132,93681,6073,6,2015
Game,3911696,192774,2679,6,2015
Game,3103299,168778,1816,6,2015
Game,6603304,203400,4067,6,2015
Game,5760513,195297,1980,6,2015
Game,2948126,122048,2985,6,2015
Game,3887501,160054,1614,6,2015
Game,7807985,437895,4352,7,2015
Game,7409843,317594,5747,7,2015
Game,3637734,163025,3149,7,2015
Game,6207898,388074,3230,7,2015
Game,4243125,142586,2413,7,2015
Game,3598211,133505,1981,7,2015
Game,3720190,196398,3534,7,2015
Hiburan,3611083,103703,3757,7,2015
Game,3541896,147484,1613,7,2015
Game,4249478,198864,2072,7,2015
Game,2751068,99658,2575,7,2015
Game,2846982,104064,1554,7,2015
Game,6461066,164266,4353,7,2015
Game,2847743,104078,2470,7,2015
Game,4099161,221198,1691,7,2015
Game,4850198,148769,4712,7,2015
Game,2968718,122418,2281,7,2015
Game,6148838,184887,2412,7,2015
Game,5253133,126554,3628,7,2015
Game,3982399,155153,2332,7,2015
Musik,2124882,148791,2659,7,2015
Game,3177607,173850,1621,7,2015
Game,5680353,222756,4080,7,2015
Komedi,3873031,263518,1918,7,2015
Game,4444106,146263,1861,7,2015
Game,4957984,176329,2213,7,2015
Game,2270905,114820,1813,7,2015
Game,5424528,236568,15326,7,2015
Game,3385576,224459,2835,7,2015
Game,13844019,317939,6828,7,2015
Game,4623769,315003,3349,7,2015
Game,4131390,172587,1529,7,2015
Game,4748359,187270,2367,7,2015
Game,4814503,190258,2466,7,2015
Komedi,15089340,726125,18091,7,2015
Game,4118127,147612,2196,7,2015
Game,7536980,226703,3858,7,2015
Game,4235474,117035,5823,7,2015
Game,4602235,145001,2527,7,2015
Game,4782699,157997,1840,7,2015
Game,6311653,185840,1854,7,2015
Game,3403308,129755,1831,7,2015
Game,3320759,151104,3295,7,2015
Game,3345430,142331,3138,7,2015
Game,6297450,184249,4172,7,2015
Game,2455389,114325,1738,7,2015
Game,3147648,133962,2242,7,2015
Game,3575492,92458,2304,7,2015
Game,6503351,161408,4021,7,2015
Game,3358724,128822,1619,7,2015
Game,9261699,288641,3030,7,2015
Game,9721979,305463,3776,7,2015
Game,3157709,126042,2752,7,2015
Game,2754912,113386,1920,7,2015
Game,3195231,131030,2082,7,2015
Game,4323438,146180,3478,8,2015
Game,6392264,201730,2968,8,2015
Game,6742226,208789,2302,8,2015
Game,4425159,157171,2697,8,2015
Game,4521356,168540,2501,8,2015
Game,12809659,481103,9377,8,2015
Game,2030247,72155,2058,8,2015
Game,7065405,245672,2721,8,2015
Blog &amp; Orang,3617770,256530,2178,8,2015
Game,2937893,116928,2248,8,2015
Game,6590541,205771,5573,8,2015
Game,6847793,223698,2126,8,2015
Game,3721346,184273,3318,8,2015
Blog &amp; Orang,10679633,470177,5260,8,2015
Game,2245918,119875,1017,8,2015
Game,3592534,237908,1628,8,2015
Game,5824810,198421,3193,8,2015
Game,2442211,99258,2238,8,2015
Game,2051460,87248,2760,8,2015
Game,2470370,62437,1612,8,2015
Game,3515712,147659,1844,8,2015
Game,2920836,94761,1672,8,2015
Game,3685595,152113,1812,8,2015
Game,2373957,104227,1672,8,2015
Game,5066798,281874,2345,8,2015
Game,2096929,80126,1616,8,2015
Game,2818314,102295,2579,8,2015
Game,2936135,142521,1988,8,2015
Game,3552043,159087,2565,8,2015
Game,6371424,200168,2926,8,2015
Blog &amp; Orang,3286503,260891,2022,8,2015
Game,5621652,168525,2022,8,2015
Game,2195232,82430,1541,8,2015
Game,1798004,106207,2128,8,2015
Game,3353708,78156,2217,8,2015
Game,5601646,174683,2257,8,2015
Game,6748374,198543,2197,8,2015
Game,2665990,131319,1441,8,2015
Game,4805735,195775,4149,8,2015
Game,6164864,175042,2905,8,2015
Game,3150652,115012,1820,8,2015
Hiburan,3491582,271847,3443,8,2015
Game,2760502,124113,2358,8,2015
Game,3071507,134880,2220,8,2015
Game,7940271,366244,2277,8,2015
Game,2560865,127337,1412,8,2015
Game,3567104,118258,1586,8,2015
Game,3341808,114237,1925,8,2015
Game,5844854,186201,1636,8,2015
Game,6391483,130389,4252,8,2015
Game,2546705,124504,1815,8,2015
Game,3261723,185759,1527,9,2015
Game,2545248,200331,1025,9,2015
Game,3241831,141310,2156,9,2015
Game,7679040,227580,4451,9,2015
Game,5935740,214909,5402,9,2015
Game,2211174,178102,2120,9,2015
Game,4194732,152805,2178,9,2015
Game,5364288,190723,3066,9,2015
Game,4334845,219617,2232,9,2015
Game,4791483,131145,1901,9,2015
Game,2768413,131766,1117,9,2015
Game,4964668,141679,3143,9,2015
Game,9234659,206335,5191,9,2015
Game,4561003,149973,3198,9,2015
Game,4500972,154964,2241,9,2015
Game,2097160,109910,1108,9,2015
Game,5099377,185323,3914,9,2015
Game,3959359,196082,1994,9,2015
Game,4798190,155561,4149,9,2015
Game,5524468,235548,2541,9,2015
Game,3165612,123477,2011,9,2015
Game,6541436,210384,3576,9,2015
Game,3414239,139469,2861,9,2015
Game,6462768,234084,4063,9,2015
Game,4049485,211244,1733,9,2015
Game,3543363,178479,1880,9,2015
Game,5097826,183225,2864,9,2015
Game,19715933,313601,5127,9,2015
Game,4332961,188252,1794,9,2015
Game,8704724,274326,3066,9,2015
Game,2184159,118283,1190,9,2015
Blog &amp; Orang,3829194,253490,2546,9,2015
Blog &amp; Orang,4586047,319230,1989,9,2015
Game,2631812,106975,1046,9,2015
Game,4103032,186760,1338,9,2015
Game,5313738,319640,3712,9,2015
Game,3808750,170078,1434,9,2015
Blog &amp; Orang,5163730,226463,1924,9,2015
Game,6038634,166426,3346,9,2015
Game,3138496,185810,1435,9,2015
Game,5096435,285967,3206,9,2015
Game,3161400,98287,1187,9,2015
Game,5080093,165700,1737,9,2015
Game,3669106,123991,1339,9,2015
Game,2773114,130297,1919,9,2015
Game,2423661,126246,957,9,2015
Game,3497934,154091,2042,9,2015
Game,3807257,121336,1843,9,2015
Blog &amp; Orang,5084786,201509,2958,9,2015
Blog &amp; Orang,6157910,202012,2340,9,2015
Blog &amp; Orang,3552742,271156,1612,9,2015
Game,4359839,176173,1843,9,2015
Game,2248210,79517,2289,9,2015
Game,3253468,169627,1124,9,2015
Game,6764458,231342,3036,9,2015
Blog &amp; Orang,2223930,113094,890,9,2015
Game,5710961,323041,3966,9,2015
Game,5225476,167972,1829,9,2015
Game,3712059,193783,1964,9,2015
Blog &amp; Orang,6074326,261306,5036,10,2015
Game,5611788,238612,3986,10,2015
Game,2560101,108405,1976,10,2015
Game,9232783,272830,8672,10,2015
Game,2182644,80273,1069,10,2015
Game,5662866,257819,3124,10,2015
Komedi,3494027,229753,1952,10,2015
Game,3876607,167980,1424,10,2015
Game,2468276,179728,1849,10,2015
