category,view,like,dislike,month,year,,,
Komedi,3637851,288158,9307,4,2017,,,
Game,6437597,224369,5590,10,2016,,,
Komedi,4296796,249264,3219,4,2015,,,
Game,13186860,594679,31319,8,2016,,,
Game,6106499,256638,2594,6,2016,,,
Game,6256662,123893,2182,3,2013,,,
Game,2899163,122432,1508,12,2015,,,
Game,5110229,195312,1724,12,2013,,,
Game,1708644,51698,643,5,2013,,,
Hiburan,12832206,484323,6175,5,2015,,,
Game,11335742,415466,5990,1,2017,,,
Komedi,4461097,205367,2332,11,2017,,,
Game,4764445,149688,1113,6,2014,,,
Game,8579916,197637,2014,9,2013,,,
Game,5749655,138844,2631,9,2012,,,
Game,14120297,209051,5418,12,2014,,,
Game,987717,35167,294,7,2012,,,
Komedi,8937190,369450,3964,11,2013,,,
Game,4469785,212651,4234,11,2015,,,
Komedi,4154575,282236,4771,3,2017,,,
Game,275151,7710,35,12,2011,,,
Game,3649136,217534,4200,12,2016,,,
Game,1098515,64871,635,2,2011,,,
Game,1799515,54495,721,1,2013,,,
Komedi,7204062,378194,5042,7,2017,,,
Game,17052320,557894,13949,5,2015,,,
Game,1028396,30316,219,5,2012,,,
Game,5254019,209414,4066,11,2015,,,
Game,2560101,108405,1976,10,2015,,,
Game,4236466,23150,432,2,2016,,,
Game,10862284,336247,10164,4,2017,,,
Hiburan,7787317,383150,5254,6,2015,,,
Game,1910923,54422,591,8,2012,,,
Game,3951198,63016,1246,6,2012,,,
Game,2697423,111696,1914,1,2016,,,
Game,10215069,268111,3069,10,2014,,,
Game,3052810,165933,3110,1,2018,,,
Game,6486708,221267,2553,12,2015,,,
Game,10171586,312022,3864,7,2014,,,
Komedi,7443980,463829,14563,2,2017,,,
Game,6742226,208789,2302,8,2015,,,
Game,4425159,157171,2697,8,2015,,,
Game,8137913,183354,3502,3,2013,,,
Game,3913552,182013,1974,9,2014,,,
Game,4811787,216786,2053,12,2015,,,
Film &amp; Animasi,12008294,236368,2735,1,2014,,,
Game,9819412,218178,6488,9,2014,,,
Komedi,4186402,216367,2980,10,2017,,,
Game,6359473,321831,2674,1,2015,,,
Game,3637734,163025,3149,7,2015,,,
Game,6207898,388074,3230,7,2015,,,
Game,6545283,282754,9580,7,2016,,,
Game,1762299,50368,2819,4,2015,,,
Game,4177754,207135,2961,10,2016,,,
Komedi,5606484,257423,3606,5,2017,,,
Game,5500553,94179,1330,10,2012,,,
Game,6668209,109847,3579,12,2012,,,
Game,1195142,19353,231,3,2012,,,
Game,2803932,44734,756,12,2012,,,
Game,4470706,182475,2509,5,2016,,,
Game,5804115,120240,1795,2,2013,,,
Game,4243125,142586,2413,7,2015,,,
Game,4052100,132223,1553,6,2014,,,
Game,6986194,132691,2433,6,2013,,,
Game,23343556,1130211,86990,12,2016,,,
Game,5980782,296818,3584,11,2017,,,
Game,3616131,138692,936,12,2014,,,
Komedi,5087992,276703,6519,12,2017,,,
Game,829429,14629,137,11,2011,,,
Game,9328907,314217,4396,3,2014,,,
Game,3643172,125614,1522,10,2013,,,
Game,10501848,245953,2392,8,2014,,,
Game,743639,17251,149,3,2012,,,
Game,4964115,129733,1362,8,2014,,,
Game,274652,7412,55,12,2011,,,
Blog &amp; Orang,1168142,43754,481,4,2016,,,
Komedi,13847245,187896,3533,9,2012,,,
Game,3112375,104967,3022,3,2016,,,
Game,371228,8856,117,9,2011,,,
Game,3598211,133505,1981,7,2015,,,
Game,4783759,213611,2396,4,2015,,,
Komedi,9595770,253564,3205,1,2013,,,
Game,2040607,60125,585,3,2013,,,
Game,251106,7299,50,12,2011,,,
Game,4988177,199867,4071,6,2016,,,
Game,1527449,54606,779,2,2016,,,
Game,3543153,150714,2399,12,2015,,,
Game,4523022,271631,6226,9,2016,,,
Game,2687049,125860,2658,11,2015,,,
Game,1560454,47774,595,5,2013,,,
Game,3720190,196398,3534,7,2015,,,
Game,1934659,26592,308,5,2012,,,
Hiburan,9357768,159045,1742,4,2012,,,
Game,1930527,65372,694,1,2013,,,
Game,5533411,205481,1426,5,2014,,,
Game,9236007,156668,2840,3,2014,,,
Komedi,6608727,309932,9005,9,2017,,,
Game,4635290,570630,4274,12,2017,,,
Game,5319437,346757,6082,8,2016,,,
Game,5633436,144991,1090,12,2014,,,
Game,2211174,178102,2120,9,2015,,,
Game,2120319,55267,430,2,2013,,,
Game,3791227,127161,1730,10,2014,,,
Game,3287311,63178,1069,1,2013,,,
Game,3489508,95038,1763,12,2015,,,
Game,1584750,32302,479,1,2013,,,
Game,3811453,257692,2286,6,2014,,,
Game,2876380,81722,945,3,2013,,,
Game,9446441,142099,3123,10,2012,,,
Komedi,5523881,279666,11049,3,2017,,,
Game,7058930,279692,5412,12,2015,,,
Hiburan,1545214,31471,255,12,2011,,,
Game,1763428,31339,330,5,2012,,,
Komedi,11602477,354667,7232,1,2017,,,
Komedi,3778773,227919,4722,3,2017,,,
Hiburan,474769,11614,139,2,2012,,,
Game,4109099,145438,1452,11,2014,,,
Game,510147,11200,85,2,2012,,,
Game,12768334,119029,4012,11,2012,,,
Game,4729192,226516,6570,10,2016,,,
Game,208788,4150,138,9,2011,,,
Hiburan,3611083,103703,3757,7,2015,,,
Game,14239432,378231,14374,10,2016,,,
Game,962679,27191,253,12,2012,,,
Game,4610912,309737,8990,10,2016,,,
Game,4194732,152805,2178,9,2015,,,
Game,3541896,147484,1613,7,2015,,,
Komedi,5886118,246457,7343,6,2017,,,
Game,5445846,202943,1550,8,2014,,,
Game,7819330,244518,4003,6,2013,,,
Game,2060052,46538,449,3,2012,,,
Komedi,5705719,356599,8476,2,2017,,,
Game,3087415,94603,1434,10,2013,,,
Game,5564580,192499,1877,11,2015,,,
Game,11175641,253156,4942,8,2014,,,
Game,1217301,40832,428,3,2013,,,
Game,4249478,198864,2072,7,2015,,,
Berita &amp; Politik,4943999,341538,10762,1,2017,,,
Komedi,8270124,276652,11800,6,2017,,,
Game,13278164,617981,16446,8,2016,,,
Game,4352867,115713,1335,5,2016,,,
Game,10083166,431134,5111,1,2017,,,
Game,1770820,64502,961,1,2013,,,
Game,4364904,197342,2720,6,2013,,,
Game,8800954,251655,2653,7,2014,,,
Hiburan,4160492,295846,2314,5,2015,,,
Game,7264591,195602,3015,6,2013,,,
Game,10178025,173753,2052,2,2013,,,
Komedi,3908910,190946,5267,4,2017,,,
Game,4274701,179526,1743,12,2016,,,
Hiburan,5103579,331343,22375,12,2016,,,
Game,3893161,146338,1065,9,2013,,,
Game,9470731,267233,3611,4,2015,,,
Game,6722168,159881,1579,9,2013,,,
Game,6458162,164391,2748,7,2013,,,
Game,7191863,151197,3107,7,2014,,,
Game,3493053,90435,1394,3,2013,,,
Game,2501819,51862,616,1,2013,,,
Game,17877539,576331,7076,6,2016,,,
Game,1437345,27464,277,3,2012,,,
Game,447246,15564,92,1,2012,,,
Game,3224213,92080,1200,4,2014,,,
Game,5636644,263757,3094,12,2016,,,
Game,7894801,482534,13684,8,2016,,,
Game,9232783,272830,8672,10,2015,,,
Game,4521356,168540,2501,8,2015,,,
Game,2858031,85978,1655,3,2015,,,
Game,1195940,24177,177,10,2011,,,
Game,2583994,29595,402,8,2011,,,
Game,603704,9998,61,1,2011,,,
Game,4220321,170034,3928,5,2016,,,
Game,4244061,130182,1680,11,2013,,,
Game,1136093,21257,469,6,2012,,,
Game,6410455,168463,1325,9,2013,,,
Game,5063439,164418,2029,6,2014,,,
Game,1812049,88737,571,4,2013,,,
Game,5364288,190723,3066,9,2015,,,
Game,11033327,331224,5383,6,2015,,,
Game,1018388,18735,262,4,2012,,,
Game,3822339,80111,3799,11,2014,,,
Game,3245567,131842,2465,12,2015,,,
Game,4013127,229625,4231,8,2016,,,
Game,2322822,51648,752,1,2013,,,
Game,707314,18867,282,9,2012,,,
Game,873389,14677,155,11,2011,,,
Game,4456030,184172,1662,2,2015,,,
Game,9831637,203624,3552,11,2014,,,
Komedi,6864092,324891,8276,5,2017,,,
Komedi,6187332,358528,5611,3,2015,,,
Game,9368387,359365,4289,7,2013,,,
Game,4614210,173041,3016,9,2014,,,
Komedi,4422170,248108,4875,9,2017,,,
Game,5231449,107553,2814,9,2014,,,
Game,2592849,54348,782,3,2013,,,
Game,3136878,148364,1800,11,2014,,,
Game,1664823,50655,540,3,2013,,,
Game,225426,7695,63,3,2012,,,
Game,5615324,137741,1468,11,2013,,,
Game,2963023,109768,1214,10,2013,,,
Game,4136054,94337,1664,10,2014,,,
Game,583506,14838,100,11,2011,,,
Game,5550068,165906,3143,5,2015,,,
Game,5079849,216513,1986,11,2013,,,
Komedi,81237756,1532218,41414,6,2013,,,
Game,4869647,69953,1057,1,2012,,,
Game,1552167,40835,518,2,2013,,,
Game,5511748,391088,1538,8,2014,,,
Game,5832039,122636,1922,7,2013,,,
Game,1347475,35638,504,1,2013,,,
Komedi,1920730,56517,619,10,2012,,,
Game,6956322,191732,2605,2,2014,,,
Komedi,2518078,67451,2242,10,2017,,,
Game,2957798,43977,652,10,2012,,,
Game,2066063,53864,1221,4,2016,,,
Komedi,7501995,174170,2347,1,2013,,,
Game,6258267,267924,2031,9,2013,,,
Game,4378953,134009,1279,4,2014,,,
