,channel_id,channel_name,country,genre_channel,join_date,subscriber,total_video
579,UCsn6cjffsvyOZCZxvGoJxGg,Corridor,-,Entertainment,5/17/2010,4613989,150
580,UCvGiJYBPgVP7W1ypE3DKOqA,byViruZz,-,Entertainment,9/1/2012,4612534,137
581,UC-4kjzuh4822B9yPSgpZQgA,Matheus Yurley,Brazil,Entertainment,1/27/2015,4611126,151
582,UCLAumKr0O_z6r6RPiummR1g,5 Alguma Coisa,Brazil,Comedy,9/20/2012,4607875,303
583,UCey_c7U86mJGz1VJWH5CYPA,iJustine,United States,People & Blogs,5/7/2006,4606138,1593
584,UCBy6yIwHdhEEYG_nwHD-tiQ,Lucas Lucco,Brazil,Music,5/7/2012,4599388,70
585,UCHuZmQ0lSW8TG81dVZZh5rw,LipaoGamer,Brazil,Gaming,10/1/2011,4598109,5679
586,UCI4I6ldZ0jWe7vXpUVeVcpg,HouseholdHacker,United States,Howto & Style,11/6/2007,4590143,444
587,UCb3tJ5NKw7mDxyaQ73mwbRg,Kontor.TV,Germany,Music,3/14/2006,4582442,1805
588,UCP-Ng5SXUEt0VE-TXqRdL6g,LEGO,Denmark,Entertainment,10/22/2005,4579878,18264
589,UCH9ciCUcWavMsFcAJtLUSyw,SixPackAbs.com,-,Howto & Style,12/1/2009,4578690,483
590,UCQCnMFr8uHBaMTaNBhych_A,Mini Ladd,United States,Gaming,5/12/2011,4567237,1104
591,UCspJ-h5Mw9_zeEhJDzMpkkA,Furious Pete,Canada,Entertainment,8/10/2006,4566260,729
592,UCrpkeAWEbFXYoIWEgNx7yzw,Ã tipo isso,Brazil,Entertainment,6/9/2014,4561299,127
593,UCDlMDG2j7XQQfvM3jp8nBZQ,VRZOchannel,Thailand,Entertainment,6/29/2012,4560955,873
594,UCTXeJ33DzXI2veQpKfrvaYw,Julien Bam,Germany,Entertainment,2/17/2012,4558396,214
595,UCbCmjCuTUZos6Inko4u57UQ,ABCkidTV - Nursery Rhymes,-,Education,9/1/2006,4556910,318
596,UCe0TLA0EsQbE-MjuHXevj2A,ATHLEAN-Xâ¢,United States,Howto & Style,12/16/2006,4555603,884
597,UCAI8SmRbXgSpP8Zo3xZbxzQ,OficialHungria,Brazil,Music,4/13/2013,4553251,31
598,UCDRbNGFusqlXX4a5vwi9ouQ,Vat19,United States,Entertainment,2/28/2007,4548828,1189
599,UCfwP2H1CDJvssk6g2pm8EgA,gymvirtual,-,Sports,11/1/2010,4544767,628
600,UCM9KEEuzacwVlkt9JfJad7g,Chill Nation,United States,Music,2/26/2014,4537073,818
601,UCxOGHW-aqciBe5Wjq8ltzOg,Ownage Pranks,-,Comedy,8/13/2007,4533692,427
602,UCz_cDc_2arKIb6SlJoqFT0w,RackaRacka,Australia,Entertainment,11/7/2013,4525221,110
603,UCPeZTzsoQ4iBjfkVbU0ilmg,Marcus Butler,Great-Britain,Comedy,1/15/2010,4520989,300
604,UCWcrr8Q9INGNp-PTCLTzc8Q,Troye Sivan,-,People & Blogs,10/1/2007,4518757,136
605,UC2nZMhZ2qG5-xpqb440WLYg,ExplodingTNT,Canada,Entertainment,5/8/2011,4515130,578
606,UCnB5W_ZJgiDFnklejRGADxw,Pocoyo,EspaÃ±a,Film and Animation,7/31/2007,4512957,901
607,UCF5VmU9N3sqqVe-F6E4gewg,BIBI,Brazil,People & Blogs,12/9/2014,4511049,1938
608,UCy9xDEfMD8jrXU3NatFLLtw,Taciele Alcolea,Brazil,Howto & Style,9/8/2009,4507712,1114
609,UCUgXK2UjZ8G_EM438aYkGrw,POPS MUSIC,Viet Nam,Music,3/25/2013,4484657,25068
610,UCfwMtPbRx38cg7qoQJ0iUlQ,Tom ProduÃ§Ãµes,Brazil,Music,12/29/2008,4479848,415
611,UC5gFyQ1LCdZ6xeeHz73ujQQ,MrPoladoful,Brazil,Gaming,5/28/2012,4474142,306
612,UCIXYyHANDvinQMIdauzSNJA,Orkun IÅÄ±tmak,Turkey,Entertainment,4/18/2010,4472381,1127
613,UCvwgF_0NOZe2vN4Q3g1bY-A,Vikkstar123,Great-Britain,Gaming,4/12/2010,4446258,4135
614,UCGTxCNqN5xQx8UnJ4y8cT0w,Mr. Tops,-,Entertainment,7/18/2015,4442759,241
615,UCgrA08uO7JR9h6Xr-ONjPkA,LispyJimmy,United States,Gaming,10/7/2012,4441589,2146
616,UCy-pRSIMMBsp-AZlV4go3vw,Pyong Lee,Brazil,Entertainment,5/9/2014,4438949,387
617,UC4_bwov47DseacR1-ttTdOg,boogie2988,United States,Gaming,4/6/2006,4434247,1859
618,UCBqFKDipsnzvJdt6UT0lMIg,Sandeep Maheshwari,India,People & Blogs,2/13/2012,4431363,157
619,UCsvn_Po0SmunchJYOWpOxMg,videogamedunkey,-,Gaming,10/21/2010,4425430,575
620,UCCj956IF62FbT7Gouszaj9w,BBC,-,Entertainment,11/12/2005,4418328,22194
621,UCXLw_h6bFfPOKbDJXDUjA-Q,Funny Stop Motion videos,-,Entertainment,1/28/2013,4417875,1312
622,UCudKvbd6gvbm5UCYRk5tZKA,TheSoundYouNeed,France,Music,12/19/2012,4413696,302
623,UCwohKbRK2QnojtLh3p7xwaA,Ami Rodriguez,-,Entertainment,7/20/2009,4412501,214
624,UC_vcKmg67vjMP7ciLnSxSHQ,Amit Bhadana,India,Entertainment,10/24/2012,4407451,40
625,UCMnsS0onDu4KKLcDWGl3bWA,zSHOWz,United States,People & Blogs,3/7/2014,4405154,180
626,UC4-CH0epzZpD_ARhxCx6LaQ,Cole&Sav,-,Comedy,8/24/2012,4404938,148
627,UC-FQUIVQ-bZiefzBiQAa8Fw,BBC Radio 1,Great-Britain,Music,3/8/2006,4403411,3543
628,UCBq5hp6DvwWam2XOXw6lYJA,Awakening Records,Great-Britain,Music,12/25/2006,4403144,489
629,UC9CuvdOVfMPvKCiwdGKL3cQ,GameGrumps,-,Gaming,7/10/2012,4382668,5736
630,UCOaMOXfe8EWH1GJyhqhXrAA,Denis,United States,Gaming,3/10/2016,4380970,1249
631,UCxJf49T4iTO_jtzWX3rW_jg,LeafyIsHere,Nederland,Gaming,10/8/2011,4378533,610
632,UCGDumBSWK7q6Rpdwz8osbYA,Prettyboyfredo,United States,People & Blogs,6/16/2009,4378525,403
633,UCesOgVkywcnbAtyNf-XZ4AA,MjrmGames,Saudi Arabia,People & Blogs,9/28/2012,4376129,259
634,UCQ_RJNjvGLGLoxU6pPodvkQ,Martinez Twins,-,Entertainment,1/9/2016,4375303,127
635,UCwpcLKMwiuPg4aqImpGk6Ew,La Granja de ZenÃ³n,-,Music,6/6/2013,4364170,120
636,UCvgfXK4nTYKudb0rFR6noLA,UFC - Ultimate Fighting Championship,-,Sports,3/4/2006,4339902,6661
637,UC1ga45T4B7LX4llKa3khq4g,Japa,Brazil,Entertainment,1/7/2014,4330808,83
638,UCSFC5Cio8zaLQDFPxA7y_HQ,âFavijTVâ¢,Italy,Gaming,12/8/2012,4327915,1574
639,UCaB_KyYOjfNHBm0f-TvBmiw,TrapMusicHDTV,Latvia,Music,7/15/2013,4327463,836
640,UCMkfcY0uNTa7hccthSooPnQ,Haschak Sisters,-,Entertainment,2/5/2008,4326165,144
641,UCX2y61A3llrNxXBHg2EtGQw,De'arra & Ken 4 Life,United States,Entertainment,12/11/2014,4320248,200
642,UCpEJRZdSpdVZ8vh63T9I2KQ,Funny Stacy,-,Entertainment,4/22/2017,4309223,81
643,UC_F8DoJf9MZogEOU51TpTbQ,Clash Royale,-,Gaming,11/16/2015,4305183,319
